device_eui;tijdstip;beweging
7CC6C42900011246;2022120409;0
7CC6C42900011246;2022120410;0
7CC6C42900011246;2022120411;0
7CC6C42900011246;2022120412;0
7CC6C42900011246;2022120413;0
7CC6C42900011246;2022120414;0
7CC6C42900011246;2022120415;0
7CC6C42900011246;2022120416;0
7CC6C42900011246;2022120417;0
7CC6C42900011246;2022120418;0
7CC6C42900011246;2022120419;0
7CC6C42900011246;2022120420;0
7CC6C42900011246;2022120421;0
7CC6C42900011246;2022120422;0
7CC6C42900011246;2022120500;0
7CC6C42900011246;2022120501;0
7CC6C42900011246;2022120502;0
7CC6C42900011246;2022120503;0
7CC6C42900011246;2022120504;0
7CC6C42900011246;2022120505;0
7CC6C42900011246;2022120506;0
7CC6C42900011246;2022120508;0
7CC6C42900011246;2022120509;0
7CC6C42900011246;2022120510;0
7CC6C42900011246;2022120511;0
7CC6C42900011246;2022120512;1
7CC6C42900011246;2022120513;0
7CC6C42900011246;2022120514;0
7CC6C42900011246;2022120515;0
7CC6C42900011246;2022120516;0
7CC6C42900011246;2022120517;0
7CC6C42900011246;2022120518;0
7CC6C42900011246;2022120519;0
7CC6C42900011246;2022120520;0
7CC6C42900011246;2022120521;0
7CC6C42900011246;2022120522;0
7CC6C42900011246;2022120523;0
7CC6C42900011246;2022120601;0
7CC6C42900011246;2022120602;0
7CC6C42900011246;2022120603;0
7CC6C42900011246;2022120604;0
7CC6C42900011246;2022120605;0
7CC6C42900011246;2022120606;0
7CC6C42900011246;2022120607;0
7CC6C42900011246;2022120608;0
7CC6C42900011246;2022120609;0
7CC6C42900011246;2022120610;2
7CC6C42900011246;2022120611;8
7CC6C42900011246;2022120612;0
7CC6C42900011246;2022120613;0
7CC6C42900011246;2022120614;0
7CC6C42900011246;2022120615;0
7CC6C42900011246;2022120616;0
7CC6C42900011246;2022120617;0
7CC6C42900011246;2022120618;0
7CC6C42900011246;2022120619;0
7CC6C42900011246;2022120620;0
7CC6C42900011246;2022120621;0
7CC6C42900011246;2022120622;0
7CC6C42900011246;2022120623;0
7CC6C42900011246;2022120700;0
7CC6C42900011246;2022120701;0
7CC6C42900011246;2022120702;0
7CC6C42900011246;2022120703;0
7CC6C42900011246;2022120704;0
7CC6C42900011246;2022120705;0
7CC6C42900011246;2022120706;0
7CC6C42900011246;2022120707;0
7CC6C42900011246;2022120708;0
7CC6C42900011246;2022120709;4
7CC6C42900011246;2022120710;0
7CC6C42900011246;2022120711;1
7CC6C42900011246;2022120712;0
7CC6C42900011246;2022120713;0
7CC6C42900011246;2022120714;0
7CC6C42900011246;2022120715;2
7CC6C42900011246;2022120716;0
7CC6C42900011246;2022120717;0
7CC6C42900011246;2022120718;0
7CC6C42900011246;2022120719;0
7CC6C42900011246;2022120720;0
7CC6C42900011246;2022120721;0
7CC6C42900011246;2022120722;0
7CC6C42900011246;2022120723;0
7CC6C42900011246;2022120800;23
7CC6C42900011246;2022120801;30
7CC6C42900011246;2022120802;6
7CC6C42900011246;2022120803;3
7CC6C42900011246;2022120804;9
7CC6C42900011246;2022120805;3
7CC6C42900011246;2022120806;9
7CC6C42900011246;2022120807;3
7CC6C42900011246;2022120808;1
7CC6C42900011246;2022120809;7
7CC6C42900011246;2022120810;1
7CC6C42900011246;2022120811;0
7CC6C42900011246;2022120812;0
7CC6C42900011246;2022120813;0
7CC6C42900011246;2022120814;0
7CC6C42900011246;2022120815;0
7CC6C42900011246;2022120816;0
7CC6C42900011246;2022120817;0
7CC6C42900011246;2022120818;0
7CC6C42900011246;2022120819;0
7CC6C42900011246;2022120820;0
7CC6C42900011246;2022120821;0
7CC6C42900011246;2022120822;0
7CC6C42900011246;2022120823;0
7CC6C42900011246;2022120900;0
7CC6C42900011246;2022120901;0
7CC6C42900011246;2022120902;2
7CC6C42900011246;2022120903;1
7CC6C42900011246;2022120904;0
7CC6C42900011246;2022120905;1
7CC6C42900011246;2022120906;1
7CC6C42900011246;2022120907;1
7CC6C42900011246;2022120908;0
7CC6C42900011246;2022120909;0
7CC6C42900011246;2022120910;0
7CC6C42900011246;2022120911;1
7CC6C42900011246;2022120912;0
7CC6C42900011246;2022120913;0
7CC6C42900011246;2022120914;0
7CC6C42900011246;2022120915;0
7CC6C42900011246;2022120916;0
7CC6C42900011246;2022120917;0
7CC6C42900011246;2022120918;0
7CC6C42900011246;2022120919;0
7CC6C42900011246;2022120920;0
7CC6C42900011246;2022120921;0
7CC6C42900011246;2022120922;0
7CC6C42900011246;2022120923;0
7CC6C42900011246;2022121000;0
7CC6C42900011246;2022121001;0
7CC6C42900011246;2022121002;0
7CC6C42900011246;2022121003;0
7CC6C42900011246;2022121004;0
7CC6C42900011246;2022121005;0
7CC6C42900011246;2022121006;0
7CC6C42900011246;2022121007;0
7CC6C42900011246;2022121008;0
7CC6C42900011246;2022121009;0
7CC6C42900011246;2022121010;0
7CC6C42900011246;2022121011;0
7CC6C42900011246;2022121012;25
7CC6C42900011246;2022121013;28
7CC6C42900011246;2022121014;20
7CC6C42900011246;2022121015;26
7CC6C42900011246;2022121016;13
7CC6C42900011246;2022121017;14
7CC6C42900011246;2022121018;4
7CC6C42900011246;2022121019;3
7CC6C42900011246;2022121020;9
7CC6C42900011246;2022121021;21
7CC6C42900011246;2022121022;19
7CC6C42900011246;2022121023;13
7CC6C42900011246;2022121100;5
7CC6C42900011246;2022121101;7
7CC6C42900011246;2022121102;7
7CC6C42900011246;2022121103;11
7CC6C42900011246;2022121104;4
7CC6C42900011246;2022121105;8
7CC6C42900011246;2022121106;5
7CC6C42900011246;2022121107;6
7CC6C42900011246;2022121108;13
7CC6C42900011246;2022121109;53
7CC6C42900011246;2022121110;27
7CC6C42900011246;2022121111;0
7CC6C42900011246;2022121112;1
7CC6C42900011246;2022121113;0
7CC6C42900011246;2022121114;0
7CC6C42900011246;2022121115;0
7CC6C42900011246;2022121116;23
7CC6C42900011246;2022121117;4
7CC6C42900011246;2022121118;0
7CC6C42900011246;2022121119;0
7CC6C42900011246;2022121120;2
7CC6C42900011246;2022121121;0
7CC6C42900011246;2022121122;0
7CC6C42900011246;2022121123;0
7CC6C42900011246;2022121200;0
7CC6C42900011246;2022121201;0
7CC6C42900011246;2022121202;0
7CC6C42900011246;2022121203;0
7CC6C42900011246;2022121204;0
7CC6C42900011246;2022121205;0
7CC6C42900011246;2022121206;0
7CC6C42900011246;2022121207;0
7CC6C42900011246;2022121208;0
7CC6C42900011246;2022121209;0
7CC6C42900011246;2022121210;0
7CC6C42900011246;2022121211;0
7CC6C42900011246;2022121212;0
7CC6C42900011246;2022121213;1
7CC6C42900011246;2022121214;1
7CC6C42900011246;2022121215;1
7CC6C42900011246;2022121216;0
7CC6C42900011246;2022121217;0
7CC6C42900011246;2022121218;0
7CC6C42900011246;2022121219;0
7CC6C42900011246;2022121220;0
7CC6C42900011246;2022121221;0
7CC6C42900011246;2022121222;0
7CC6C42900011246;2022121223;0
7CC6C42900011246;2022121300;0
7CC6C42900011246;2022121301;0
7CC6C42900011246;2022121302;0
7CC6C42900011246;2022121303;0
7CC6C42900011246;2022121304;0
7CC6C42900011246;2022121305;0
7CC6C42900011246;2022121306;0
7CC6C42900011246;2022121307;0
7CC6C42900011246;2022121308;0
7CC6C42900011246;2022121309;0
7CC6C42900011246;2022121310;0
7CC6C42900011246;2022121311;0
7CC6C42900011246;2022121312;0
7CC6C42900011246;2022121313;0
7CC6C42900011246;2022121314;3
7CC6C42900011246;2022121315;1
7CC6C42900011246;2022121316;0
7CC6C42900011246;2022121317;0
7CC6C42900011246;2022121318;0
7CC6C42900011246;2022121319;0
7CC6C42900011246;2022121320;0
7CC6C42900011246;2022121321;0
7CC6C42900011246;2022121322;0
7CC6C42900011246;2022121323;0
7CC6C42900011246;2022121400;0
7CC6C42900011246;2022121401;0
7CC6C42900011246;2022121402;0
7CC6C42900011246;2022121403;0
7CC6C42900011246;2022121404;0
7CC6C42900011246;2022121405;0
7CC6C42900011246;2022121406;0
7CC6C42900011246;2022121407;0
7CC6C42900011246;2022121408;0
7CC6C42900011246;2022121409;0
7CC6C42900011246;2022121410;0
7CC6C42900011246;2022121411;0
7CC6C42900011246;2022121412;1
7CC6C42900011246;2022121413;1
7CC6C42900011246;2022121414;0
7CC6C42900011246;2022121415;2
7CC6C42900011246;2022121416;0
7CC6C42900011246;2022121417;2
7CC6C42900011246;2022121418;0
7CC6C42900011246;2022121419;1
7CC6C42900011246;2022121420;0
7CC6C42900011246;2022121421;0
7CC6C42900011246;2022121422;1
7CC6C42900011246;2022121423;1
7CC6C42900011246;2022121500;1
7CC6C42900011246;2022121501;1
7CC6C42900011246;2022121502;0
7CC6C42900011246;2022121503;0
7CC6C42900011246;2022121504;1
7CC6C42900011246;2022121505;0
7CC6C42900011246;2022121506;1
7CC6C42900011246;2022121507;3
7CC6C42900011246;2022121508;1
7CC6C42900011246;2022121509;2
7CC6C42900011246;2022121510;9
7CC6C42900011246;2022121511;7
7CC6C42900011246;2022121512;5
7CC6C42900011246;2022121513;10
7CC6C42900011246;2022121514;16
7CC6C42900011246;2022121515;19
7CC6C42900011246;2022121516;10
7CC6C42900011246;2022121517;5
7CC6C42900011246;2022121518;0
7CC6C42900011246;2022121519;6
7CC6C42900011246;2022121520;12
7CC6C42900011246;2022121521;0
7CC6C42900011246;2022121522;0
7CC6C42900011246;2022121523;0
7CC6C42900011246;2022121600;0
7CC6C42900011246;2022121601;3
7CC6C42900011246;2022121602;1
7CC6C42900011246;2022121603;1
7CC6C42900011246;2022121604;1
7CC6C42900011246;2022121605;0
7CC6C42900011246;2022121606;0
7CC6C42900011246;2022121607;0
7CC6C42900011246;2022121608;0
7CC6C42900011246;2022121609;1
7CC6C42900011246;2022121610;1
7CC6C42900011246;2022121611;0
7CC6C42900011246;2022121612;0
7CC6C42900011246;2022121613;0
7CC6C42900011246;2022121614;3
7CC6C42900011246;2022121615;0
7CC6C42900011246;2022121616;3
7CC6C42900011246;2022121617;0
7CC6C42900011246;2022121618;0
7CC6C42900011246;2022121619;2
