device_eui;tijdstip;verbruik
7CC6C40800001265;2022081119;5
7CC6C40800001265;2022081120;6
7CC6C40800001265;2022081121;5
7CC6C40800001265;2022081122;5
7CC6C40800001265;2022081123;6
7CC6C40800001265;2022081200;5
7CC6C40800001265;2022081201;6
7CC6C40800001265;2022081202;5
7CC6C40800001265;2022081203;5
7CC6C40800001265;2022081204;6
7CC6C40800001265;2022081205;5
7CC6C40800001265;2022081206;6
7CC6C40800001265;2022081207;5
7CC6C40800001265;2022081208;5
7CC6C40800001265;2022081209;6
7CC6C40800001265;2022081210;5
7CC6C40800001265;2022081211;5
7CC6C40800001265;2022081212;6
7CC6C40800001265;2022081213;5
7CC6C40800001265;2022081214;5
7CC6C40800001265;2022081215;6
7CC6C40800001265;2022081216;410
7CC6C40800001265;2022081217;900
7CC6C40800001265;2022081218;932
7CC6C40800001265;2022081219;904
7CC6C40800001265;2022081220;880
7CC6C40800001265;2022081221;868
7CC6C40800001265;2022081222;850
7CC6C40800001265;2022081223;850
7CC6C40800001265;2022081300;841
7CC6C40800001265;2022081301;838
7CC6C40800001265;2022081302;835
7CC6C40800001265;2022081303;828
7CC6C40800001265;2022081304;825
7CC6C40800001265;2022081305;818
7CC6C40800001265;2022081306;816
7CC6C40800001265;2022081307;817
7CC6C40800001265;2022081308;828
7CC6C40800001265;2022081309;851
7CC6C40800001265;2022081310;228
7CC6C40800001265;2022081311;6
7CC6C40800001265;2022081312;5
7CC6C40800001265;2022081313;5
7CC6C40800001265;2022081314;6
7CC6C40800001265;2022081315;4
7CC6C40800001265;2022081316;6
7CC6C40800001265;2022081317;6
7CC6C40800001265;2022081318;5
7CC6C40800001265;2022081319;4
7CC6C40800001265;2022081320;347
7CC6C40800001265;2022081321;964
7CC6C40800001265;2022081322;946
7CC6C40800001265;2022081323;958
7CC6C40800001265;2022081400;953
7CC6C40800001265;2022081401;947
7CC6C40800001265;2022081402;949
7CC6C40800001265;2022081403;945
7CC6C40800001265;2022081404;940
7CC6C40800001265;2022081405;555
7CC6C40800001265;2022081406;7
7CC6C40800001265;2022081407;5
7CC6C40800001265;2022081408;5
7CC6C40800001265;2022081409;6
7CC6C40800001265;2022081410;5
7CC6C40800001265;2022081411;5
7CC6C40800001265;2022081412;6
7CC6C40800001265;2022081413;5
7CC6C40800001265;2022081414;535
7CC6C40800001265;2022081415;473
7CC6C40800001265;2022081416;5
7CC6C40800001265;2022081417;6
7CC6C40800001265;2022081418;5
7CC6C40800001265;2022081419;5
7CC6C40800001265;2022081420;299
7CC6C40800001265;2022081421;734
7CC6C40800001265;2022081422;394
7CC6C40800001265;2022081423;402
7CC6C40800001265;2022081500;406
7CC6C40800001265;2022081501;410
7CC6C40800001265;2022081502;412
7CC6C40800001265;2022081503;414
7CC6C40800001265;2022081504;413
7CC6C40800001265;2022081505;413
7CC6C40800001265;2022081506;279
7CC6C40800001265;2022081507;6
7CC6C40800001265;2022081508;5
7CC6C40800001265;2022081509;281
7CC6C40800001265;2022081510;483
7CC6C40800001265;2022081511;6
7CC6C40800001265;2022081512;5
7CC6C40800001265;2022081513;5
7CC6C40800001265;2022081514;6
7CC6C40800001265;2022081515;5
7CC6C40800001265;2022081516;5
7CC6C40800001265;2022081517;6
7CC6C40800001265;2022081518;5
7CC6C40800001265;2022081519;5
7CC6C40800001265;2022081520;147
7CC6C40800001265;2022081521;860
7CC6C40800001265;2022081522;843
7CC6C40800001265;2022081523;847
7CC6C40800001265;2022081600;843
7CC6C40800001265;2022081601;842
7CC6C40800001265;2022081602;840
7CC6C40800001265;2022081603;833
7CC6C40800001265;2022081604;830
7CC6C40800001265;2022081605;828
7CC6C40800001265;2022081606;827
7CC6C40800001265;2022081607;833
7CC6C40800001265;2022081608;854
7CC6C40800001265;2022081609;900
7CC6C40800001265;2022081610;905
7CC6C40800001265;2022081611;914
7CC6C40800001265;2022081612;927
7CC6C40800001265;2022081613;925
7CC6C40800001265;2022081614;849
7CC6C40800001265;2022081615;821
7CC6C40800001265;2022081616;853
7CC6C40800001265;2022081617;908
7CC6C40800001265;2022081618;815
7CC6C40800001265;2022081619;801
7CC6C40800001265;2022081620;867
7CC6C40800001265;2022081621;838
7CC6C40800001265;2022081622;817
7CC6C40800001265;2022081623;818
7CC6C40800001265;2022081700;811
7CC6C40800001265;2022081701;811
7CC6C40800001265;2022081702;831
7CC6C40800001265;2022081703;831
7CC6C40800001265;2022081704;822
7CC6C40800001265;2022081705;822
7CC6C40800001265;2022081706;821
7CC6C40800001265;2022081707;815
7CC6C40800001265;2022081708;832
7CC6C40800001265;2022081709;381
7CC6C40800001265;2022081710;503
7CC6C40800001265;2022081711;5
7CC6C40800001265;2022081712;6
7CC6C40800001265;2022081713;5
7CC6C40800001265;2022081714;5
7CC6C40800001265;2022081715;6
7CC6C40800001265;2022081716;5
7CC6C40800001265;2022081717;5
7CC6C40800001265;2022081718;6
7CC6C40800001265;2022081719;5
7CC6C40800001265;2022081720;227
7CC6C40800001265;2022081721;803
7CC6C40800001265;2022081722;775
7CC6C40800001265;2022081723;771
7CC6C40800001265;2022081800;766
7CC6C40800001265;2022081801;759
7CC6C40800001265;2022081802;753
7CC6C40800001265;2022081803;747
7CC6C40800001265;2022081804;738
7CC6C40800001265;2022081805;730
7CC6C40800001265;2022081806;724
7CC6C40800001265;2022081807;644
7CC6C40800001265;2022081808;929
7CC6C40800001265;2022081809;788
7CC6C40800001265;2022081810;847
7CC6C40800001265;2022081811;8
7CC6C40800001265;2022081812;5
7CC6C40800001265;2022081813;6
7CC6C40800001265;2022081814;5
7CC6C40800001265;2022081815;346
7CC6C40800001265;2022081816;892
7CC6C40800001265;2022081817;865
7CC6C40800001265;2022081818;886
7CC6C40800001265;2022081819;712
7CC6C40800001265;2022081820;473
7CC6C40800001265;2022081821;818
